"name","sA","rA","sC","rC","sG","rG","sH","rH"
"Fernando Meligeni","60.3613","39.3094","60.3312","41.0457","57.6271","33.8308","60.6383","35.6005"
"Mischa Zverev","60.3147","36.3872","58.2418","37.1202","62.2463","35.6949","60.6964","36.3049"
"Peter Luczak","61.3497","33.3912","59.7418","34.3224","64.018","33.4992","62.3944","32.5777"
"Jurgen Melzer","62.3543","37.0471","60.8291","39.3493","64.269","34.9157","62.7494","36.1618"
"Nicolas Massu","57.9968","36.0731","56.8844","37.9235","61.7978","27.0492","64.6154","25.8621"
"Julien Benneteau","61.8655","37.1078","59.1527","38.3622","64.3775","34.9705","62.2745","37.08"
"Jordi Arrese","58.0109","41.7745","57.9793","42.3153","55.6818","14.7541","59.0706","38.439"
"Andreas Vinciguerra","61.3572","37.1545","58.6397","39.3489","59.8909","34.6099","63.2974","36.0093"
"Michel Kratochvil","60.3426","38.82","58.4552","40.1536","60.8946","39.0244","61.4429","38.3991"
"Todd Woodbridge","59.9797","39.5669","56.2412","39.8426","61.5768","40.6315","60.2664","39.6299"
"Wayne Arthurs","69.5039","29.6845","66.4471","29.9485","73.074","30.3047","68.9455","29.3548"
"Nicolas Devilder","58.5529","37.2683","58.7349","38.8217","59.3614","33.8384","57.8635","35.3836"
"Bjorn Phau","59.1374","37.0986","57.1932","38.4887","60.6376","32.7219","59.6965","37.1525"
"Diego Junqueira","54.6648","36.3093","54.7291","38.1834","46.1538","19.6721","55.4672","29.0672"
"Olivier Rochus","60.6311","37.7903","57.8574","39.3638","63.3046","35.3855","60.9752","38.0684"
"Jamie Morgan","64.2158","35.3416","60.2972","36.7742","66.8685","33.4467","63.7178","35.8569"
"Thierry Ascione","60.2925","34.2242","57.6762","36.9565","54.5994","25.3061","62.4698","33.8156"
