name,sA,rA,sC,rC,sG,rG,sH,rH
Javier Frana,64.621,37.714,63.161,39.53,67.768,37.245,63.62,36.879
Cedrik-Marcel Stebe,60.501,41.659,54.571,41.212,59.603,37.072,58.052,35.758
Albert Costa,62.476,39.769,62.058,41.985,62.132,34.868,62.568,36.286
Steve Darcis,63.63,38.631,60.981,34.857,66.14,34.401,62.245,36.199
Jurgen Zopp,63.759,38.746,58.012,38.073,66.005,25.414,61.234,33.903
Maximo Gonzalez,60.032,42.103,57.94,40.11,55.256,30.518,55.919,36.725
Mikhail Kukushkin,61.917,40.336,59.158,38.02,62.105,31.454,60.736,38.398
Nicolas Kiefer,62.926,38.958,59.925,39.541,65.384,37.935,63.097,39.026
Marcos Baghdatis,64.237,38.05,61.028,37.853,65.58,37.075,64.475,37.983
Nicolas Escude,63.031,39.16,59.049,40.328,64.315,39.467,63.445,39.45
Ivan Ljubicic,66.835,35.145,64.256,38.032,67.573,32.327,67.821,34.345
Leonardo Mayer,65.383,37.256,65.473,36.055,66.422,31.485,63.971,34.646
Bradley Klahn,64.232,38.025,50.813,39.72,58.278,28.772,62.813,33.1
Carlos Costa,60.323,41.67,60.481,43.797,59.637,36.382,60.156,37.707
Jiri Novak,61.931,40.214,60.752,42.236,63.146,36.585,62.812,39.726
Agustin Calleri,63.575,38.675,63.36,40.197,62.381,33.788,64.06,37.598
Juan Ignacio Chela,61.124,40.915,59.339,41.979,63.01,35.656,61.632,38.931
Paolo Lorenzi,61.497,40.747,58.744,37.945,62.259,33.649,57.964,36.198
Jason Stoltenberg,62.547,39.42,60.907,40.512,64.586,40.165,62.091,38.98
Philipp Kohlschreiber,64.854,37.209,63.385,38.711,68.91,34.916,64.972,36.516
Gilles Simon,62.116,39.644,59.799,42.196,64.262,35.525,63.004,38.648
Ryan Sweeting,62.09,39.926,60.289,37.9,59.174,30.8,59.473,36.773
Guillermo Perez-Roldan,59.405,42.128,60.287,41.395,0,0,46.429,26.829
Karel Novacek,63.358,38.542,61.798,40.218,66.667,36.092,64.115,36.896
Albert Ramos-Vinolas,61.251,40.591,61.177,39.28,51.639,34.174,60.885,35.474
Magnus Larsson,64.969,36.989,63.107,38.555,66.451,36.058,65.76,35.712
Santiago Giraldo,63.388,38.188,61.779,37.8,65.029,33.152,61.789,36.03
Illya Marchenko,61.775,40.211,54.902,31.72,63.504,34.168,59.765,38.222
Yen-Hsun Lu,63.773,38.438,55.805,32.684,64.462,33.117,62.014,36.894
Mikhail Youzhny,62.676,39.028,60.597,39.855,63.852,37.874,63.54,38.833
Thomaz Bellucci,63.267,38.658,62.489,39.013,61.974,35.435,62.694,35.346
Filippo Volandri,58.57,43.145,58.451,42.881,57.296,34.116,56.144,35.762
Juan Monaco,61.214,40.731,61.3,42.112,65.679,34.039,60.504,39.182
Magnus Norman,62.639,38.973,62.361,42.289,62.174,35.44,62.9,37.113
Taylor Dent,64.433,37.02,58.514,41.746,66.504,35.25,63.738,36.485
Arnaud Boetsch,62.377,39.372,58.976,42.423,63.894,35.641,63.194,39.195
Viktor Troicki,62.385,39.369,59.639,40.675,65.075,34.622,62.442,38.505
Alexandr Dolgopolov,63.629,38.107,63.207,37.937,67.092,34.036,63.65,37.312
Ernests Gulbis,65.214,36.347,64.993,38.014,68.445,28.236,64.748,36.082
Aaron Krickstein,61.25,40.17,57.43,42.349,62.931,39.547,61.718,39.629
Sam Querrey,66.668,34.899,63.159,35.128,69.5,33.201,66.221,34.433
Alberto Berasategui,59.431,42.181,59.979,43.419,47.445,32.374,57.373,39.863
Felix Mantilla,61.03,40.442,60.683,42.39,59.117,34.115,60.67,37.513
Brian Baker,62.587,39.21,60.417,40.211,68.061,39.17,60.361,35.094
Evgeny Donskoy,64.201,37.605,60.165,33.965,64.329,27.721,63.059,35.146
Edouard Roger-Vasselin,63.628,37.826,60.389,37.222,64.883,35.094,62.717,35.732
Igor Sijsling,64.89,36.654,60.915,35.621,65.874,34.389,64.356,33.626
Janko Tipsarevic,64.975,36.704,61.497,36.643,67.526,34.136,65.369,36.928
Brian Dabul,62.751,38.902,60.39,37.283,62.924,33.111,62.454,32.867
Gaston Gaudio,60.174,41.361,60.358,43.17,57.112,38.09,61.055,38.357
Paul-Henri Mathieu,63.468,37.718,61.437,40.294,65.596,33.699,63.818,35.501
Brad Gilbert,61.485,39.683,57.026,43.797,61.82,39.711,61.793,39.362
Cedric Pioline,63.187,38.17,61.132,40.741,65.278,36.676,63.971,36.95
Jan Hajek,61.1,40.378,59.708,38.082,58.231,30.628,55.625,33.423
Robin Haase,63.707,37.665,61.315,38.71,65.418,31.301,62.893,35.614
Jimmy Wang,60.995,40.471,50.581,36,60.713,36.416,59.489,37.755
Tobias Kamke,60.525,40.841,58.456,39.279,61.357,34.407,58.587,38.903
Jerzy Janowicz,66.089,35.509,63.333,35.397,69.115,32.753,64.666,34.202
Andreas Beck,64.008,37.303,61.711,34.963,64.547,33.069,61.962,35.806
Dudi Sela,61.325,40.353,54.7,35.323,63.162,37.299,60.18,39.253
Joachim Johansson,69.355,32.045,65.738,31.529,70.099,28.845,70.289,32.571
Sergiy Stakhovsky,64.259,37.219,60.267,35.486,67.879,35.96,63.115,35.53
Florian Mayer,62.589,38.941,59.961,40.126,66.297,34.698,62.312,36.586
Martin Klizan,60.561,40.396,60.679,39.911,61.546,34.008,60.57,37.753
Michal Przysiezny,65.559,35.388,58.775,31.853,63.609,31.823,63.086,32.587
Karol Kucera,60.494,40.994,57.852,41.948,62.493,41.581,61.032,40.26
David Wheaton,63.374,37.821,62.187,39.059,65.324,37.601,63.117,37.739
Marc Rosset,65.083,36.478,63.045,37.527,65.526,33.601,65.555,36.245
